検証大項目,中項目,小項目,クライテリア,ボーレート設定,データビット幅,ストップビット幅,parity bit ,hw_flow_en,tx_inv,rx_inv,samp_num,over_samp,int_break_det_en,int_parity_err_en,int_framing_err_en,int_rx_timeout_en,int_overrun_err_en,int_tx_fifo_th_en,int_rx_fifo_th_en ,rx_fifo_th_level ,tx_fifo_th_level,,is_err,test_name
タイムアウト,受信タイムアウト,受信,RX FIFOにデータがある状態で4データ分無通信が続いた際タイムアウト割り込みが発生すること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,,0,test_rx_timeout
タイムアウト,タイムアウトクリア,受信,無通信が続いてタイムアウトが発生した後にデータをリードすると割り込みがクリアされること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,,0,test_rx_timeout_clear
閾値割り込み,TX FIFO閾値,送信,TX FIFO内のデータ数が閾値以下になった際TX FIFO閾値割り込みが発生すること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,1,0,4,4,,0,test_tx_fifo_threshold
閾値割り込み,RX FIFO閾値,受信,RX FIFO内のデータ数が閾値以上になった際RX FIFO閾値割り込みが発生すること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,1,4,4,,0,test_rx_fifo_threshold
極性反転,TX極性反転,送信,conf_tx_invを1にした時シリアル出力が完全に論理反転（Idle=Low）すること,115200,8,1(1.0),0,0,1,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_tx_polarity_inv
極性反転,RX極性反転,受信,conf_rx_invを1にした時論理反転（Idle=Low）されたシリアルデータを正しく受信できること,115200,8,1(1.0),0,0,0,1,0,1,0,0,0,0,0,0,0,4,4,,0,test_rx_polarity_inv
極性反転,極性設定ミスマッチ,受信,送信側の極性反転設定と受信側の設定が不一致のときフレーミングエラーを検出すること,115200,8,1(1.0),0,0,1,0,0,1,0,0,1,0,0,0,0,4,4,,1,test_polarity_mismatch
動作制御,UART動作停止,送信/受信,通信中にuart_enableを0にした場合安全に動作が停止しレジスタアクセスのみ可能になること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_uart_disable_mid_transfer
動作制御,ブレーク送信,送信,break_sendを1にしている間送信ピンTXDからLowが連続して出力され続けること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_tx_break_send
リセット,非同期リセット,送信/受信,送受信中にaresetnがアサートされた場合即座に回路が初期状態にリセットされること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_async_reset_active
オーバーサンプリング,8倍動作,送受信,オーバーサンプリングを8倍に設定したときに正常に送受信ができること,115200,8,1(1.0),0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,0,test_over_samp_8
オーバーサンプリング,32倍動作,送受信,オーバーサンプリングを32倍に設定したときに正常に送受信ができること,115200,8,1(1.0),0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,,0,test_over_samp_32
サンプリング点数,3点基本動作,受信,サンプリング点数を3点多数決に設定したときに正常に受信ができること,115200,8,1(1.0),0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,,0,test_samp_num_3_normal
サンプリング点数,3点ノイズ除去,受信,3点多数決サンプリングにおいて1点にノイズが混入しても正しく除去され受信できること,115200,8,1(1.0),0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,,0,test_samp_num_3_noise_filter
サンプリング点数,1点ノイズ感受,受信,1点サンプリングにおいてサンプリング点にノイズが混入したときエラーを検出すること,115200,8,1(1.0),0,0,0,0,0,1,0,0,1,0,0,0,0,4,4,,1,test_samp_num_1_noise_error
閾値変更,TX閾値最小値,送信,tx_fifo_th_levelを0に設定したときに仕様通りに閾値割り込みが機能すること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,,0,test_tx_th_level_min
閾値変更,TX閾値最大値,送信,tx_fifo_th_levelを31に設定したときに仕様通りに閾値割り込みが機能すること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,1,0,4,31,,0,test_tx_th_level_max
閾値変更,RX閾値最小値,受信,rx_fifo_th_levelを1に設定したときに仕様通りに閾値割り込みが機能すること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,,0,test_rx_th_level_min
閾値変更,RX閾値最大値,受信,rx_fifo_th_levelを31に設定したときに仕様通りに閾値割り込みが機能すること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,1,31,4,,0,test_rx_th_level_max
閾値変更,動作中閾値変更,送信/受信,通信動作中に閾値レジスタの設定値を書き換えた際即座に割り込み状態が反映されること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,1,1,8,8,,0,test_th_level_dynamic_change
連続テスト,FIFO限界データ連続送信,送信,送信FIFOの容量上限（32データ）を一度に書き込みすべてがウェイトなしで連続送信できること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_tx_fifo_limit_burst
連続テスト,FIFO限界データ連続受信,受信,CPUが読み出さない間に受信FIFO容量上限（32データ）に等しいデータを連続受信して正常保持できること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_rx_fifo_limit_burst
連続テスト,FIFO限界全二重連続送受信,送受信,双方向で同時にFIFO容量上限（32データ）に等しいデータをウェイトなしで連続送受信（全二重）できること,115200,8,1(1.0),0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,,0,test_duplex_fifo_limit_burst

